id;confirmation_date;status;store_id;payment_id
5e6ede77-f2df-4b18-8f43-9d52cbe33088;2019-11-30;PROCESSING;72107d59-2ba0-40fb-9f30-2f2949806048;96204f53-71c9-4368-b970-d9a2710fff9c
e74bc21b-b289-48ec-af89-7afce1304135;2019-11-30;PROCESSING;a37a197d-02e6-442a-8468-38920fdc7f6e;e9be5193-80f5-4d6b-88d9-5f498424c210
6579a3eb-1abc-4bb0-92be-665fbc14bbb3;2019-11-30;NEW;0d3bbbcc-91e5-4a1e-9d97-51154a5ab9a4;e8761fbd-cb83-4c47-88b6-107130ea7598
ce336553-e5d6-425d-9ab9-1de8ec4c3952;2019-11-30;PROCESSING;3f194b2e-e9c4-4a1d-bc32-6ee85c1e55e1;43a60d5d-4028-4867-bb14-53f25388b651
979c4cb7-2a81-450a-857e-fc884b15bd4c;2019-11-30;PROCESSING;b7b424f0-49f8-4600-85ea-3a2877f839a1;c533bc57-afa6-48d1-8d25-82b0d95a30b8
e3e0ce4f-4717-4edb-9514-bb3732350b2c;2019-11-30;NEW;2fb668ed-2a5b-413e-8eb4-3a2df88843f1;fe8eea35-45bb-4ded-a6ce-ad1e2cea9905
6f9ca9ff-e2df-4f13-ac12-05bf879a365e;2019-12-01;ON_HOLD;7b7af32b-0375-42b5-abdb-a498185a4439;ff67eea6-c58a-49a7-933b-7490ca02ff7f
b48f5980-28eb-4260-bcea-4f880d4be967;2019-11-30;PENDING_PAYMENT;68f9ffd1-4463-4d45-b258-6edbe91139af;52484e5b-db2b-4b58-84c6-c4d9e1808ac3
a828a1f4-4d51-4ae5-868b-dcb3991df997;2019-11-30;COMPLETE;0ee50691-79a0-4572-8f4d-9d0400d45825;8dc43f97-1d03-4868-ba2b-2ff8b50c6467
36f26bec-612d-49db-b9d8-e84bb87bafdc;2019-11-30;PROCESSING;f1d6bb60-2e27-4438-9b2a-e4af8ba869b6;03952c10-5110-4104-9fb2-701c7c75276a
