id;name
b054f106-e9fa-4956-9353-8eb0ae77341c;mobile Fish
ce87a6ce-0662-426d-97fa-2a2cb1c9e2c3;Home Loan Account Table Computer
2850efcd-c218-4db4-9f8e-3cff7e8fad19;Trace
aad61a28-2d65-4a77-bd46-d2f3a477fde1;Savings Account alarm
767d92b1-902d-4294-900a-18506e6355fc;Tasty Metal Bacon
ffa0fa58-2ef8-4b59-a447-ef26889089f6;red Chips Soap
04eb3309-28f9-4464-83bd-39a641aed552;Home Loan Account
b7e76b49-f88b-4fca-8908-37901b0ae1da;web-readiness
b6ed8e47-7c30-4c39-9f6d-4a897f973a75;Namibia
e3c3b143-7a91-466d-8e90-c3d2f9fc63ee;Steel zero administration
